Student_Names,Math,Physics,Chemistry,Grade,Comment,Roll No.
Molly Savage,15,45,53,D,Poor Pursuance,539904
Dean Mejia,20,52,68,D,Poor Pursuance,595683
Donald Anderson,85,21,60,C,Below Average Achivement,557039
Scott Mann,17,59,93,C,Below Average Achivement,559665
Larry Anderson,20,100,100,B+,Good Pursuance,547340
Donna Jackson,24,54,44,D,Poor Pursuance,529774
Rebecca Schwartz,59,49,48,C,Below Average Achivement,517136
Derek Lindsey,56,60,89,B,Average Performance,535366
Kaitlin Dorsey,14,99,24,D,Poor Pursuance,533577
Nicholas Davis,25,59,57,D,Poor Pursuance,518740
Lucas Torres,26,84,16,D,Poor Pursuance,577638
Christopher Bell,53,23,62,D,Poor Pursuance,569076
Elizabeth Fernandez,45,86,28,C,Below Average Achivement,581847
Tracy Miller,19,85,69,C,Below Average Achivement,556431
Scott Joseph,64,43,33,D,Poor Pursuance,590967
Gregory Huber,41,93,61,B,Average Performance,518031
Mark Graham,91,54,91,B+,Good Pursuance,533088
Michael Hughes,91,68,18,C,Below Average Achivement,532082
Daniel Hicks,59,63,52,C,Below Average Achivement,564115
Leslie Gray,48,23,47,D,Poor Pursuance,596854
Edgar Scott,10,93,22,D,Poor Pursuance,515008
Jordan Roberts,15,24,27,F,Failed,566718
Arthur Dixon,92,56,82,B+,Good Pursuance,514316
Carrie Smith,35,10,53,F,Failed,514571
Ashley Alvarado,58,43,96,B,Average Performance,554540
Lisa House,55,87,21,C,Below Average Achivement,583787
Jill Johnson,49,88,64,B,Average Performance,583976
Mark Gutierrez Jr.,80,21,49,D,Poor Pursuance,542460
Marcus Smith,92,70,68,B+,Good Pursuance,507427
David Mitchell,49,53,85,B,Average Performance,590807
Jeffrey Baker,52,51,46,D,Poor Pursuance,562404
Lisa Jackson,15,65,40,D,Poor Pursuance,523190
Albert Haynes,81,22,99,B,Average Performance,566370
Robert Edwards,70,61,32,C,Below Average Achivement,537461
Edward Farrell,57,36,18,D,Poor Pursuance,593554
Brian Smith,81,82,54,B+,Good Pursuance,574312
Tara Larson,88,21,75,B,Average Performance,511151
Frank Mcclure,36,64,46,D,Poor Pursuance,511607
Whitney Williams,58,50,67,C,Below Average Achivement,526854
Teresa Smith,45,10,35,F,Failed,518426
Adrian Smith,20,45,48,D,Poor Pursuance,574852
Ellen Roberts,53,14,96,C,Below Average Achivement,584725
Leslie Jones,25,60,100,B,Average Performance,516612
Christopher Garrett,82,22,38,D,Poor Pursuance,526560
Michael Johnson,70,34,20,D,Poor Pursuance,526923
Lisa Williams,77,82,91,A,Very Good Achivement,504612
Kristin Howard,31,85,12,D,Poor Pursuance,519512
Emily Morris,35,70,35,D,Poor Pursuance,585282
Patricia Mclaughlin,71,18,55,D,Poor Pursuance,582206
Aimee Buchanan,73,65,88,B+,Good Pursuance,564850
Christopher Little,91,81,26,B,Average Performance,506574
Kimberly Rush,34,82,49,C,Below Average Achivement,555339
David Hansen,31,100,52,B,Average Performance,596983
Rachel Matthews,42,58,36,D,Poor Pursuance,545294
Shelly Watson,78,89,35,B,Average Performance,574553
Andrew Gonzalez,21,17,59,F,Failed,580410
Christopher Smith,26,93,12,D,Poor Pursuance,574876
Monica Sellers,90,81,67,B+,Good Pursuance,582663
Karen Ramirez,82,12,19,D,Poor Pursuance,502299
Sarah Todd,18,100,79,B,Average Performance,507776
Christopher Jones,90,31,59,C,Below Average Achivement,579040
Amber Johnson,66,36,36,D,Poor Pursuance,535399
Stacey Jordan,53,74,33,C,Below Average Achivement,562587
Erin Williams,22,13,68,D,Poor Pursuance,548820
Deborah Harvey,65,76,28,C,Below Average Achivement,555712
Jasmine Carson,66,100,54,B+,Good Pursuance,594309
Jason Roach,62,28,74,C,Below Average Achivement,537609
Sarah Day,45,85,42,C,Below Average Achivement,544705
Gregory Harrison,77,93,53,B+,Good Pursuance,597462
Michelle Guzman,11,33,64,D,Poor Pursuance,538813
Ronnie Ware,81,52,98,B+,Good Pursuance,510673
Steven Bonilla,61,73,28,C,Below Average Achivement,522974
Lori Day,74,90,49,B+,Good Pursuance,508374
Diane Evans,61,69,25,C,Below Average Achivement,549691
Emily Brown,24,39,34,F,Failed,539179
Stephanie Wright,13,24,37,F,Failed,598059
Matthew Knight,64,59,57,C,Below Average Achivement,566067
Michael Paul,63,92,100,A,Very Good Achivement,572018
Ashley Guerra,11,78,62,D,Poor Pursuance,559132
Tyler Rhodes,87,83,97,A,Very Good Achivement,582485
Sarah Russell,45,94,28,C,Below Average Achivement,598332
Nicholas Smith,49,16,100,C,Below Average Achivement,577360
Christina Benson,39,92,84,B+,Good Pursuance,535686
Eric Burns,86,59,68,B+,Good Pursuance,560821
Scott Obrien,11,23,40,F,Failed,580409
Amanda Davenport,79,25,51,C,Below Average Achivement,573606
Cynthia Rodriguez,37,11,24,F,Failed,503755
James Stewart,80,48,82,B,Average Performance,537883
Craig Bauer,22,34,37,F,Failed,544715
Timothy Kelly,97,93,42,B+,Good Pursuance,544538
Jennifer Brown,49,98,13,C,Below Average Achivement,563877
Angel Hawkins,40,94,54,B,Average Performance,589818
Yvette Bolton,58,57,30,D,Poor Pursuance,567452
Nicole Lee,100,77,76,A,Very Good Achivement,531959
Christopher Robinson,89,93,12,B,Average Performance,525149
Timothy Gordon,13,33,65,D,Poor Pursuance,550264
Jeffery Lopez,58,85,40,B,Average Performance,575374
Phillip Henderson,71,98,64,B+,Good Pursuance,599616
Steven Anderson,99,42,65,B,Average Performance,516746
Elizabeth Haynes,68,70,90,B+,Good Pursuance,501906
Sharon Gomez,25,45,63,D,Poor Pursuance,561820
Sean Davis,19,11,74,D,Poor Pursuance,549787
Jeffrey Figueroa,33,71,39,D,Poor Pursuance,500379
Wendy Adams,68,71,12,D,Poor Pursuance,582509
Raymond Hatfield,64,94,10,C,Below Average Achivement,590758
Elizabeth Doyle,21,89,12,D,Poor Pursuance,597289
Crystal Peters,76,31,42,D,Poor Pursuance,552819
Olivia Ruiz,97,79,81,A,Very Good Achivement,538159
Francis Bell,66,62,70,B,Average Performance,528342
Jennifer Coleman,46,33,50,D,Poor Pursuance,562425
John Lewis MD,15,69,37,D,Poor Pursuance,546016
Elizabeth Mason,96,29,22,D,Poor Pursuance,511715
Sharon Carrillo,100,65,25,B,Average Performance,515027
Jerry Mcbride,14,34,99,D,Poor Pursuance,562475
Douglas Cook,99,99,72,A,Very Good Achivement,513383
James Fletcher,18,74,87,C,Below Average Achivement,580225
Kim Richardson,91,75,55,B+,Good Pursuance,519188
Daniel Owens,89,15,62,C,Below Average Achivement,575508
Kenneth Brennan,52,18,66,D,Poor Pursuance,596484
Alexis Harris,94,46,15,C,Below Average Achivement,542750
Ellen Johnson,92,35,92,B+,Good Pursuance,541943
Grant Alvarez,93,14,88,B,Average Performance,560213
Ann Miller,70,30,80,C,Below Average Achivement,506046
Cynthia Frost,56,99,84,B+,Good Pursuance,588681
Samuel Sanchez,59,35,58,D,Poor Pursuance,570690
Edgar Gill,73,70,99,B+,Good Pursuance,523438
Sandra Boyd,72,71,26,C,Below Average Achivement,555790
Robert Hill,29,68,23,D,Poor Pursuance,576633
Jeffrey Hall,13,87,64,C,Below Average Achivement,522651
Garrett Martin,91,88,82,A,Very Good Achivement,568665
Stephen Roy,51,19,81,D,Poor Pursuance,598790
Eric Bauer,67,51,83,B,Average Performance,533159
Carrie Miller,59,19,31,D,Poor Pursuance,531614
Amanda Rodriguez,57,62,74,B,Average Performance,522525
Jeffrey Parker,45,64,32,D,Poor Pursuance,575186
Margaret Allen,78,88,21,B,Average Performance,584465
Haley Carlson,16,43,57,D,Poor Pursuance,535921
John Owen,93,23,76,B,Average Performance,524854
Andrew Welch,74,30,42,D,Poor Pursuance,518956
Preston Elliott,38,96,47,C,Below Average Achivement,526351
Amanda Mcfarland,57,56,10,D,Poor Pursuance,542248
Charles Flores,34,68,91,B,Average Performance,598278
Michele Brown,11,94,22,D,Poor Pursuance,579972
Kimberly Carpenter,10,56,72,D,Poor Pursuance,546068
Chris Ward,92,50,62,B,Average Performance,503927
Carolyn Sanders,60,18,57,D,Poor Pursuance,588470
Christy Shelton,29,81,66,C,Below Average Achivement,527161
Sarah Combs,58,23,76,C,Below Average Achivement,548169
Stephanie Barnett,46,55,95,B,Average Performance,511593
John Caldwell,30,33,36,D,Poor Pursuance,571856
Allison Graham,28,71,86,B,Average Performance,584943
Denise Johnson,31,92,14,D,Poor Pursuance,518089
Steven Brown,74,48,53,C,Below Average Achivement,570816
Mark Harris,50,52,59,C,Below Average Achivement,563118
Cheryl Gray,58,45,100,B,Average Performance,579127
Heidi Brown,37,61,25,D,Poor Pursuance,542241
Jennifer Thompson,86,34,54,C,Below Average Achivement,548547
Colleen Garza,60,100,37,B,Average Performance,579117
Gloria Lee,85,17,72,C,Below Average Achivement,574682
Daniel Wade,15,14,42,F,Failed,512699
Francisco Villa,54,20,44,D,Poor Pursuance,541974
Stephanie Baker,37,25,47,D,Poor Pursuance,590083
John Jackson,62,58,68,B,Average Performance,542786
Steven Fields,81,10,75,C,Below Average Achivement,573227
Shawn White,66,19,17,D,Poor Pursuance,516529
Danielle Murphy,73,92,46,B,Average Performance,511999
Robert Oliver,94,67,18,C,Below Average Achivement,530303
Christina Cook,48,66,10,D,Poor Pursuance,555115
Kim Bennett,69,94,72,B+,Good Pursuance,592941
Emily Scott,77,14,87,C,Below Average Achivement,537772
Nicole Maldonado,48,53,56,C,Below Average Achivement,596018
Michael Simpson,53,63,26,D,Poor Pursuance,567205
Jordan Arroyo,26,77,83,B,Average Performance,532257
Kevin Taylor,68,25,60,C,Below Average Achivement,543696
John Hayes,30,68,37,D,Poor Pursuance,503405
Casey Knight,12,85,82,C,Below Average Achivement,512579
Thomas Doyle,80,19,55,C,Below Average Achivement,590046
Jessica Garcia,32,47,55,D,Poor Pursuance,555035
Michael Gomez,61,50,20,D,Poor Pursuance,536859
Tiffany Yang,48,74,31,C,Below Average Achivement,588946
Gary Moore,17,78,82,C,Below Average Achivement,546536
Keith Griffin,90,10,79,C,Below Average Achivement,567726
Corey Bruce,36,39,93,C,Below Average Achivement,551091
Jeremy Adams,26,11,80,D,Poor Pursuance,509611
David Williams,68,11,95,C,Below Average Achivement,576971
Melvin Williams,66,15,17,F,Failed,565746
Jesse Spencer,19,20,70,D,Poor Pursuance,574185
Ashley Little,21,21,17,F,Failed,586792
Victoria Bryant,18,95,100,B+,Good Pursuance,539805
Amber Rodgers,17,82,71,C,Below Average Achivement,551543
Meagan Mcdaniel,87,62,64,B+,Good Pursuance,572612
Elizabeth Williams,16,17,80,D,Poor Pursuance,589410
Chad Castillo,84,17,26,D,Poor Pursuance,545578
Chad Washington,77,95,96,A,Very Good Achivement,529160
Jessica Webb,45,85,36,C,Below Average Achivement,583370
Cathy Brooks,65,30,47,D,Poor Pursuance,550810
Eric Armstrong,62,17,99,C,Below Average Achivement,509013
John Bradford,89,96,85,A,Very Good Achivement,584581
Christopher Brown,82,83,41,B,Average Performance,575991
Adrian Taylor,66,61,45,C,Below Average Achivement,537931
Joshua Schwartz,41,43,86,C,Below Average Achivement,584085
Troy Thompson,16,88,63,C,Below Average Achivement,549951
Sean Bond,12,98,55,C,Below Average Achivement,595367
Matthew Gardner,38,34,75,D,Poor Pursuance,510075
Karen Hudson,64,82,49,B,Average Performance,555891
Catherine Young,19,72,33,D,Poor Pursuance,590909
Brandon Allen,45,94,62,B,Average Performance,589565
Mackenzie Perkins,34,52,18,D,Poor Pursuance,546817
Richard Hall,47,64,13,D,Poor Pursuance,587052
Michael Blackburn,87,29,21,D,Poor Pursuance,520518
Lisa Ruiz,24,42,55,D,Poor Pursuance,573952
Katherine Rodgers,80,70,84,B+,Good Pursuance,501619
Robert Taylor,29,64,37,D,Poor Pursuance,509528
Beth Harris,45,52,91,B,Average Performance,518434
James Burke,12,15,58,F,Failed,518660
Kurt Glover,84,97,78,A,Very Good Achivement,570871
Kenneth Mitchell,18,96,30,D,Poor Pursuance,576041
Anna Morris,50,86,90,B+,Good Pursuance,503310
Shelby Valdez,78,59,93,B+,Good Pursuance,526105
Michelle Henderson,51,17,97,C,Below Average Achivement,532434
Alyssa Houston,33,67,75,C,Below Average Achivement,542351
Faith Rose,52,74,20,D,Poor Pursuance,579182
Karen Scott,38,52,51,D,Poor Pursuance,561404
Kyle Brown,95,77,35,B,Average Performance,584526
Jonathan Anthony,92,73,13,C,Below Average Achivement,507151
Steven Jackson,85,66,55,B,Average Performance,563598
Samantha Medina,63,54,68,B,Average Performance,594239
Crystal Duncan,69,16,54,D,Poor Pursuance,503741
Michael Gilmore,20,83,84,B,Average Performance,579240
Andrew Jackson,20,82,90,B,Average Performance,589235
Jesus Hunt,50,90,81,B+,Good Pursuance,597860
Natasha Sharp,41,63,52,C,Below Average Achivement,592317
Sandra Moreno,22,87,48,C,Below Average Achivement,514959
Connor Cortez,70,20,52,D,Poor Pursuance,538480
Damon Smith,96,56,32,B,Average Performance,527986
Todd Coleman,73,52,57,C,Below Average Achivement,507806
Mary Foster,18,91,32,D,Poor Pursuance,528796
Scott Bennett,95,17,64,C,Below Average Achivement,536723
Elizabeth Collins,59,23,32,D,Poor Pursuance,536190
Tyler Thomas,22,98,81,B,Average Performance,547657
Rebecca Hernandez,23,94,21,D,Poor Pursuance,545967
Jaime Zimmerman,92,54,55,B,Average Performance,567689
Christopher Johns,57,53,74,B,Average Performance,598797
Megan Downs,21,48,28,F,Failed,579712
David Rivas,63,79,30,C,Below Average Achivement,560314
Jonathan Jones,39,20,80,D,Poor Pursuance,553563
Matthew Smith,88,25,43,C,Below Average Achivement,558410
Tracy Mays,77,100,90,A,Very Good Achivement,551225
Joshua Dawson,54,63,69,B,Average Performance,575096
Michelle Leon,15,70,27,D,Poor Pursuance,568798
Barbara Washington,45,15,35,F,Failed,564129
Cassandra Frye,66,17,13,F,Failed,570884
Brent Espinoza,10,80,42,D,Poor Pursuance,587984
Jonathan Huffman,84,79,36,B,Average Performance,563675
Jonathan Austin,91,24,41,C,Below Average Achivement,505724
Kelli Gutierrez,11,95,98,B,Average Performance,583321
Brandon Schmidt,50,36,42,D,Poor Pursuance,539298
Thomas Cummings,76,62,94,B+,Good Pursuance,517841
William Martin,84,27,34,D,Poor Pursuance,576429
Brandon Mata,41,19,99,C,Below Average Achivement,553301
Carrie Pennington,66,84,15,C,Below Average Achivement,586005
Ashley Holmes,64,45,64,C,Below Average Achivement,560491
Dakota Stewart,57,14,46,D,Poor Pursuance,577837
Mrs. Colleen Butler MD,78,22,36,D,Poor Pursuance,553317
Judy Taylor,40,33,11,F,Failed,589571
John Howell,47,19,16,F,Failed,585083
Paul Hill,18,47,68,D,Poor Pursuance,562822
Mackenzie King,91,68,91,A,Very Good Achivement,527096
Patricia Martin,19,76,41,D,Poor Pursuance,555193
Ashley Jackson,95,43,86,B+,Good Pursuance,551946
Tracy Rivera,30,23,96,D,Poor Pursuance,540818
Derek Turner,30,11,45,F,Failed,534194
James Roy,35,84,76,B,Average Performance,539490
Lisa Underwood,54,46,23,D,Poor Pursuance,552589
Kyle Johnson,49,38,14,D,Poor Pursuance,517957
Karen Rangel,54,60,29,D,Poor Pursuance,538779
Nancy Nash,39,60,40,D,Poor Pursuance,563790
Pamela Mccall,72,95,40,B,Average Performance,539377
Wendy Jones,60,56,54,C,Below Average Achivement,598483
Henry Kelley,32,49,26,D,Poor Pursuance,591154
Grace Ramirez,13,33,32,F,Failed,591371
Gregory Hudson,30,57,69,C,Below Average Achivement,521543
Samuel Aguilar,86,27,59,C,Below Average Achivement,572993
Timothy Munoz,64,87,70,B+,Good Pursuance,500801
Nathan Savage,57,18,76,D,Poor Pursuance,516717
Andrew Welch,62,88,42,B,Average Performance,528265
Zachary Cain,15,93,76,B,Average Performance,517869
Lori Solomon,99,35,79,B+,Good Pursuance,525365
Tyrone Young,49,36,42,D,Poor Pursuance,512328
Mary Jimenez,61,50,65,C,Below Average Achivement,560107
Jessica Kidd,88,69,23,C,Below Average Achivement,571666
Jonathan Shaw,94,95,16,B,Average Performance,535114
Joseph Lee,15,49,66,D,Poor Pursuance,517532
Lori Henderson,79,62,62,B,Average Performance,519423
